Track,Engine,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,CheckPoint1,CheckPoint2,CheckPoint3,CheckPoint2_66
ComplexTrack,Gauss,30.05,72.7,5.04,12.38,11.32,21.36,26.28,0
ComplexTrack,Gauss,29.14,75.29,4.68,16.69,10.95,20.15,23.46,0
OvalTrack,Gauss,23.63,76.92,4.63,11.36,9.75,15.16,21.46,1
ComplexTrack,Gauss,29.11,73.34,4.65,12.77,10.78,19.57,23.27,0
StraightTrack,Gauss,17.69,74.84,5.77,13.17,8.11,12.2,15.4,0
StraightTrack,Bayes,17.31,65.9,4.29,13.48,7.45,11.35,14.62,1
OvalTrack,Nightingale,23.64,75.41,5.45,14.5,10.36,16.18,21.74,0
ComplexTrack,Nightingale,28.3,69.77,5.44,15.63,11.75,20.61,24.74,0
ComplexTrack,Bayes,29.99,66.57,4.26,18.64,11.43,21.77,26.14,0
StraightTrack,Bayes,17.23,65.47,4.33,13.45,7.49,11.36,14.67,1
ComplexTrack,Nightingale,28.33,70.91,5.51,16.87,8.26,12.25,15.66,1
StraightTrack,Nightingale,18.13,68.1,5.42,14.29,8.29,12.31,15.63,0
ComplexTrack,Gauss,28.58,66.84,4.71,16.23,10.71,19.66,24.48,0
ComplexTrack,Gauss,26.37,77.46,4.68,11.92,10.86,19.3,23.15,0
ComplexTrack,Gauss,27.69,75.74,4.68,12.63,10.89,19.48,23.8,0
ComplexTrack,Nightingale,28.27,73.46,5.46,16.74,11.54,22.27,26.44,0
ComplexTrack,Gauss,28.52,72.29,4.66,11.93,10.94,20.61,25.07,0
StraightTrack,Bayes,17.22,66.28,4.26,13.42,7.47,11.31,14.65,1
OvalTrack,Bayes,23.83,70,4.24,13.58,10.04,15.99,21.81,0
OvalTrack,Bayes,22.76,69.54,4.24,13.57,9.66,15.35,21.15,0
ComplexTrack,Gauss,26.67,76.12,4.65,12.58,10.93,19.45,23.05,0
ComplexTrack,Gauss,27.1,76.04,4.66,12.1,10.91,19.53,23.49,0
ComplexTrack,Nightingale,28.74,70.31,5.48,15.9,11.94,20.95,24.85,0
ComplexTrack,Nightingale,28.56,73.36,5.54,16.5,11.71,21.19,25.16,0
ComplexTrack,Gauss,28.35,71.33,4.89,18.81,10.87,20.54,24.31,0
OvalTrack,Gauss,26.03,76.8,4.62,11.4,9.67,14.87,23.11,1
ComplexTrack,Bayes,27.28,67.72,4.25,15.22,10.74,19.88,23.78,0
ComplexTrack,Bayes,28.27,66.47,4.26,18.16,10.72,20.55,24.73,0
StraightTrack,Bayes,17.46,66,4.51,13.63,7.71,11.56,14.89,0
ComplexTrack,Gauss,26.07,75.75,4.69,11.81,10.66,18.98,22.75,0
OvalTrack,Bayes,23.8,66.07,4.31,13.58,9.47,15.25,21.42,1
ComplexTrack,Nightingale,29.74,70.03,5.47,17,12.19,21.73,26.07,0
OvalTrack,Nightingale,24.75,71.8,5.44,16.11,10.7,16.92,22.74,0
OvalTrack,Gauss,24.1,71.67,4.73,11.51,9.75,15.18,21.72,1
ComplexTrack,Bayes,26.83,67.91,4.29,15.16,10.52,19.57,23.28,0
ComplexTrack,Nightingale,30.86,67.47,5.42,16.62,12.13,21.66,26.62,0
ComplexTrack,Bayes,27.11,67.97,4.26,14.95,10.87,19.85,23.56,0
ComplexTrack,Gauss,27.82,72.67,3.78,8.98,10.53,21.56,26.31,0
ComplexTrack,Nightingale,27.16,74.56,5.44,15.8,11.57,20.27,23.86,0
ComplexTrack,Gauss,30.11,65.86,4.76,29.19,10.83,20.84,25.81,0
OvalTrack,Nightingale,24.29,76.18,5.43,14.57,10.72,16.74,22.35,0
StraightTrack,Bayes,28.97,66.02,16.29,25.39,19.08,23.05,26.37,0
OvalTrack,Nightingale,23.69,75.95,5.49,14.57,8.74,13.67,21.72,1
StraightTrack,Nightingale,18.89,66.26,6.33,15.24,8.85,12.97,16.31,0
OvalTrack,Gauss,27.67,77.88,3.77,8.74,10.99,15.04,18.3,1
StraightTrack,Nightingale,18.1,69.4,5.42,14.33,8.28,12.28,15.62,0
OvalTrack,Bayes,23.38,69.82,4.36,13.71,9.83,15.6,21.33,0
StraightTrack,Gauss,17.58,78.19,5.66,12.22,8.72,12.38,15.36,0
OvalTrack,Nightingale,29.17,69.18,5.52,14.65,10.67,16.59,25.81,1
ComplexTrack,Nightingale,26.79,76.13,5.44,15.65,11.47,20.16,23.71,0
StraightTrack,Bayes,17.27,65.2,4.26,13.57,7.46,11.34,14.67,1
OvalTrack,Nightingale,25.13,68.02,5.47,14.6,10.68,16.54,23.03,1
OvalTrack,Bayes,23.87,70.22,4.25,13.57,9.9,15.99,21.86,0
OvalTrack,Bayes,24.38,65.41,4.24,13.6,14.54,15.72,22.05,1
OvalTrack,Nightingale,24.62,76.83,5.48,14.6,10.57,16.71,22.74,0
OvalTrack,Nightingale,23.58,75.91,5.39,14.43,10.64,16.28,21.7,0
ComplexTrack,Gauss,27.33,73.7,4.65,12.55,10.95,19.25,23.6,0
ComplexTrack,Bayes,27.27,67.52,4.25,15.34,10.79,19.75,23.61,0
ComplexTrack,Nightingale,28.41,72.76,5.49,16.07,11.79,20.9,24.68,0
ComplexTrack,Gauss,28.9,69.87,4.66,14.58,10.8,20.24,25.05,0
ComplexTrack,Bayes,27.67,67.4,4.25,15.67,10.79,20.06,23.87,0
OvalTrack,Nightingale,30.11,66.36,5.42,14.51,7,10.33,12.99,1
ComplexTrack,Gauss,27.72,69.92,4.69,15.39,10.73,19.49,23.27,0
ComplexTrack,Bayes,27.67,66.24,4.27,15.37,10.52,19.65,23.29,0
OvalTrack,Gauss,23.27,77.35,4.64,11.39,9.71,15,21.07,1
ComplexTrack,Nightingale,27.63,75.14,5.47,16.08,11.71,20.53,24.15,0
OvalTrack,Bayes,24.33,69.96,4.81,14.2,9.88,16.08,22.18,0
StraightTrack,Bayes,17.36,66.31,4.4,13.51,7.6,11.46,14.77,0
OvalTrack,Nightingale,24.99,74.67,6.62,15.71,11.6,17.42,23.06,0
StraightTrack,Gauss,25.39,72.15,14.48,21.07,15.2,19.59,22.81,0
StraightTrack,Bayes,17.23,66.1,4.25,13.37,7.46,11.34,14.64,1
StraightTrack,Nightingale,18.11,69.03,5.41,14.29,8.27,12.29,15.62,0
ComplexTrack,Gauss,26.34,76.56,4.7,11.87,10.97,19.35,22.88,0
StraightTrack,Gauss,20.84,76.12,3.76,13.97,7.45,11.31,14.63,1
StraightTrack,Bayes,17.71,65.22,4.64,14.2,7.75,11.71,15.07,0
ComplexTrack,Gauss,27.46,74.74,4.64,11.81,10.76,19.5,23.81,0
ComplexTrack,Bayes,27.91,66.8,4.3,15.58,10.99,20.31,24.21,0
OvalTrack,Bayes,24.89,69.88,4.3,13.65,9.91,16.16,22.83,1
ComplexTrack,Bayes,27.46,67.62,4.28,15.28,10.75,19.93,23.94,0
StraightTrack,Bayes,17.23,65.62,4.26,13.37,8.26,12.3,15.61,0
OvalTrack,Bayes,23.64,69.66,4.26,13.8,9.64,15.57,21.62,1
OvalTrack,Gauss,28.83,77.62,6.94,13.71,11.33,16.83,24.79,1
ComplexTrack,Bayes,30,66.22,4.24,26.23,10.62,21.5,26.11,0
OvalTrack,Gauss,26.12,76.53,3.73,8.75,8.98,15.62,23.15,1
StraightTrack,Bayes,25.23,67.35,10.94,20.09,7.74,11.6,14.92,1
ComplexTrack,Gauss,28.35,74.49,3.77,12.76,10.53,21.56,26.31,0
ComplexTrack,Gauss,30.7,65.31,3.76,8.91,9.61,21.42,26.15,0
OvalTrack,Bayes,23.69,70.08,4.26,13.78,9.7,15.58,21.73,1
ComplexTrack,Nightingale,30.42,66.08,5.48,15.96,7.45,11.3,14.58,1
ComplexTrack,Nightingale,28.47,70.25,5.44,17.29,11.63,21.17,24.87,0
OvalTrack,Nightingale,23.81,75.72,5.47,14.58,15.4,16.89,21.97,0
ComplexTrack,Nightingale,29.24,69.18,6.5,18,12.57,21.71,25.66,0
OvalTrack,Gauss,23.4,73.8,4.67,12.35,9.92,15.48,21.11,0
StraightTrack,Gauss,17.52,76.82,5.58,12.14,8.64,12.3,15.28,0
OvalTrack,Bayes,23.56,70,4.24,13.6,9.61,15.67,21.54,0
ComplexTrack,Gauss,27.19,74.85,4.66,12.11,10.88,19.75,23.88,0
OvalTrack,Nightingale,24.32,75.39,5.43,14.54,10.65,16.71,22.43,0
OvalTrack,Gauss,28.03,65.83,4.63,26.5,10.73,18.27,25.71,1
OvalTrack,Bayes,22.99,68.7,4.33,13.63,9.44,15.2,20.88,0
StraightTrack,Nightingale,18.11,69.37,5.41,14.31,8.27,12.29,15.62,0
OvalTrack,Bayes,22.77,69.63,4.25,13.6,9.38,15.1,20.75,0
OvalTrack,Nightingale,24.78,76.69,5.77,14.89,11.08,17.09,22.91,0
ComplexTrack,Bayes,27.1,68.56,4.28,15.86,10.61,19.78,23.66,0
ComplexTrack,Gauss,29.45,66.59,3.75,9.05,10.82,22.01,27.57,0
ComplexTrack,Bayes,26.62,66.43,4.29,15.67,10.36,19.25,23.02,0
StraightTrack,Bayes,17.28,66.23,4.31,13.43,7.53,11.39,14.7,1
OvalTrack,Gauss,30.05,77.24,3.75,8.72,8.83,17.4,28.09,1
OvalTrack,Bayes,23.07,69.41,4.25,13.61,9.6,15.31,21.03,0
ComplexTrack,Bayes,27.14,67.41,4.25,15.18,10.78,19.89,23.67,0
StraightTrack,Bayes,17.22,66.24,4.25,13.47,7.48,11.32,14.64,1
ComplexTrack,Gauss,27.24,72.44,3.75,9.2,9.59,19.09,23.51,0
OvalTrack,Nightingale,27.15,66.74,5.46,15.1,10.54,16.52,24.51,1
OvalTrack,Gauss,25.21,75.55,4.71,11.51,9.74,14.99,22.69,1
StraightTrack,Nightingale,18.85,67.17,6.39,15.36,8.81,12.99,16.29,0
OvalTrack,Nightingale,24.25,75.62,5.45,14.49,10.73,16.73,22.3,0
ComplexTrack,Bayes,27.78,67.21,4.24,15.62,10.69,20.09,23.97,0
ComplexTrack,Gauss,26.68,75.04,4.67,12.37,10.67,18.87,22.73,0
OvalTrack,Bayes,22.71,69.63,4.26,13.55,9.39,15.06,20.66,0
OvalTrack,Bayes,24.27,69,4.35,16.05,9.85,16,22.24,1
ComplexTrack,Bayes,27.52,68.16,4.25,15.51,10.93,19.95,23.8,0
OvalTrack,Nightingale,24.82,67.73,5.4,14.57,12.85,16.3,22.62,1
OvalTrack,Gauss,29.59,76.6,4.66,11.38,9.54,14.77,25.54,1
OvalTrack,Bayes,23.95,70.04,4.26,13.77,9.87,15.85,21.92,0
OvalTrack,Nightingale,24.57,76.35,5.46,14.63,10.96,16.91,22.73,0
StraightTrack,Gauss,17.39,74.27,5.54,12.39,8.17,11.98,15.07,0
StraightTrack,Bayes,17.23,66.05,4.27,13.48,7.46,11.29,14.64,1
OvalTrack,Bayes,23.56,69.88,4.25,13.64,9.61,15.42,21.47,1
ComplexTrack,Gauss,27.55,75.62,3.77,9,10.88,20.59,24.32,0
OvalTrack,Gauss,23.9,76.98,4.67,15.23,10.39,16.55,22.04,0
StraightTrack,Gauss,18.26,74,6.01,13.76,8.46,12.66,15.86,0
OvalTrack,Gauss,21.7,78.2,4.66,11.37,9.65,14.85,19.79,0
ComplexTrack,Nightingale,27.29,73.22,5.42,15.68,11.6,20.41,23.99,0
ComplexTrack,Nightingale,30.06,66.86,5.44,16.75,11.91,21.43,25.77,0
StraightTrack,Nightingale,18.26,65.12,5.42,14.3,8.27,12.3,15.61,0
OvalTrack,Nightingale,30.31,69.05,6.46,15.63,11.88,18.03,27.26,1
StraightTrack,Nightingale,26.32,65.92,5.51,14.5,8.28,12.3,15.68,1
StraightTrack,Nightingale,18.09,69.39,5.41,14.3,8.28,12.26,15.6,0
StraightTrack,Nightingale,18.12,69.23,5.41,14.28,8.27,12.3,15.62,0
OvalTrack,Gauss,29.86,75.55,4.63,11.47,9.62,14.9,26.1,1
OvalTrack,Nightingale,24.61,71.09,5.52,14.66,10.47,16.28,22.51,0
OvalTrack,Gauss,22.93,76.71,4.63,11.34,9.93,15.03,20.66,1
StraightTrack,Bayes,17.35,66.22,4.39,13.5,7.59,11.45,14.76,1
OvalTrack,Gauss,26.8,76.57,4.63,19.37,9.99,18.6,24.88,0
StraightTrack,Nightingale,18.11,69.4,5.41,14.29,8.28,12.29,15.61,0
OvalTrack,Gauss,31.11,76.14,4.65,23.86,13.46,23.36,29.16,0
ComplexTrack,Nightingale,29.3,69.5,5.41,16.61,11.98,21.59,25.56,0
StraightTrack,Gauss,18.8,68.63,4.66,11.22,7.71,11.38,14.4,1
ComplexTrack,Gauss,26.25,77.09,4.68,12.59,10.6,19.12,22.87,0
StraightTrack,Nightingale,18.33,69.3,5.71,14.52,8.51,12.53,15.82,0
ComplexTrack,Bayes,27.47,66.81,4.26,15.83,10.52,19.95,23.8,0
OvalTrack,Nightingale,24.59,77.33,5.48,14.58,11.01,17.02,22.68,0
StraightTrack,Nightingale,18.12,69.42,5.42,14.3,8.28,12.29,15.62,0
StraightTrack,Bayes,17.3,65.72,4.28,13.43,7.48,11.34,14.66,1
ComplexTrack,Nightingale,27.64,75,5.54,16.18,11.67,20.58,24.19,0
ComplexTrack,Gauss,30.8,72.06,4.68,21.53,10.85,23.06,27.43,0
OvalTrack,Nightingale,27.35,65.56,6.25,17.63,11.18,17.66,24.71,1
StraightTrack,Bayes,17.93,66.31,4.97,14.07,8.15,12.04,15.35,0
OvalTrack,Bayes,23.63,70.1,4.27,13.69,9.79,15.79,21.61,0
ComplexTrack,Gauss,28.44,74.53,4.74,12.77,10.77,19.28,23.7,0
OvalTrack,Gauss,30.53,71.56,18.99,28.28,14.34,15.92,28.38,1
ComplexTrack,Gauss,27.48,74,3.86,14.2,9.61,16.48,19.44,1
OvalTrack,Gauss,25.57,71.89,3.77,8.72,7.42,11.95,15.75,1
OvalTrack,Gauss,25.53,77.54,4.76,11.55,10.2,15.55,23,1
StraightTrack,Nightingale,18.1,69.37,5.46,14.36,8.26,12.23,15.6,0
OvalTrack,Gauss,23.25,76.4,4.99,11.83,10.21,15.38,21.03,0
StraightTrack,Bayes,17.54,65.26,4.57,13.71,7.76,11.66,14.96,0
StraightTrack,Gauss,24.45,73.89,14.22,20.82,13.76,18.65,22.03,0
ComplexTrack,Bayes,27.1,68.18,4.26,15.13,10.48,19.63,23.45,0
StraightTrack,Gauss,17.23,75.09,4.94,12.18,8.04,11.85,14.9,0
